Mwaghavul,pl,PoS,IPA,Gloss,Examples
àa,,,àà,is it so? is it the case that? why not?,"Sentence final question morpheme, used at the end of a question that echoes a statement, especially if the statement is surprising. Pankwat a nguyen àa? 'Pankwat is herbalist Q?' It is also used when the question expresses an expectation or wish. A shwaa am àà? 'You drink water Q' Do you drink water as I expect you to? Mu so àà? 'We go Q' Are we going as is my wish?"
àa,,,àà,"something, esp metallic e.g. a knife, that is bare or naked without handle or covering; blade",Mo ki sak maar shi àa kì caan kas 'They do farm with blade of hoe NEG' The blade of a hoe is not used to farm
àa,,,àà,"Dissociates yourself from s.t. someone has said or done, especially something reprehensible or weird","Articulated with strong vibration in the pharynx. The interjection often goes with particular pronouns or nouns, e.g. Aa nàá/daa/dikaam! Leave me alone! (sg. fem./sg. masc./grandfather)"
àa cuk,,,àà fuk,blade of a knife,Ba mo ki cìn tan ki àa cuk kas No one plays with the blade of a knife
aak,,,āāk,pregnancy,Aak fira ni mak làa Her pregnancy is due for delivery
àak,,,ààk,ground squirrel,Xerus erythropus. Àak a lwaa diiseen cwei-cwei The ground squirrel is a very clever animal
àak daas,,,ààk dáás,umbilical hernia,protrusion from the navel in men. Gwar ni ki àak daas The man has umbilical hernia
àak daas,,,ààk dáás,cirrhosis,The patient becomes thin and the stomach and legs swell. A àak daas tu puun fira It was cirrhosis that killed her father. H. ciwon hanta
àak kicoo,,,ààk kitfóó,posthumous child,born after death of father (the child mother pregnant father was when died). Piring'ar a àak kicoo Piring'ar is a posthumous child
aak kicoo,,,ààk kitfóó,pregnancy marriage outside,now often refers to first pregnancy
àak nuk,,,ààk nūk,pregnancy marriage outside,Considered a very shameful act that no responsible parent should other tolerate. Songs and derogatory remarks or comments are made about the girl. Nigyok ni wura yaghal àaknuk kat a The promiscuous girl eventually had an out-of-wedlock pregnancy
aakoo,,,ààkóó,or,"also àa. used mainly interrogative in sentences. wagha nji aakoo a wan nso ye? 'FOC you will-come or FOC I will-go Q?"" i.e. is it you who will come or is it I who will go?"
aakput,,,āākpūt,miscarriage,Aakput shwal zam Miscarriage is very painful
aamin,,,ààmîn,amen; let it be so,<Hausa. cf. nyaasi
àan,,,ààn,to eat bones; to gnaw; to nibble,bite the small flesh on the bone or grain on the cob. Làa ni kì àan shwáa ni kyes The child has nibbled all the corn
aap,,,аар,to widen; to open space; to broaden,Poolu ni aap ndeng ku ni sham dwiit di nder The door widens at the top and narrows at the bottom
aap,,,аар,to yawn,"Kat gurum se se des be wuri nwet aap When a person overfeeds, he will yawn all day long"
àap,,,ààp,yawn,Wuri wet a 'àap 'He spent the whole day on yawning'
aapoo,,,ààpòò,to be surprising; to be astonishing; to be amazing; to be startling (to s.o.),Múut ni aapoo (mmun) 'Death the be-surprising (to us)' The death is surprising (to us)
aapoo,,,ààpòò,astonishment; amazement surprise,lit. 'bare mouth' Ba aapoo nkaa mbii kì gurum ret kas Showing surprise about someone's property is no virtue. cf. mbii aapoo
aar,,,āār,to scratch; to scrape; to weed,Ni ret ku mu aar ɓwoonlu funu mo shidaar-shidaar We should weed the surroundings of house every our day
aas,,,āās,flour; beverage,Ba aas di ni dee ni mmak wur gwom kas The remaining flour will not be sufficient enough to prepare a meal
àas,,,ààs,seed; grain; kernel,Aas kì nlaaghir ni gyar kat zam The seed of the Plateau berry is too tiny
àas,,,་་ aas,egg; ovum,"Katbaa kwee làng nki àas kas be ba ni mbak jep ni mo kas Unless a chiken lies on its eggs, it will not hatch them into chicks"
àas bee,,,ààs béé,pumpkin seed roasted and then pounded in a mortar,Also àas yer. Mwaghavul mo ki tu kudul ki aas bee mpèe se Mwaghavul people pound and eat pumpkin seeds as a substitute for local sesame seeds
àas diil,,,ààs dííl,testicles; scrotum,"Kàt mo shwat àas diil kì as be ba ni ntàng mat mo kas When a testicles dog's are removed, it will not go after the female"
àas kwee,,,das kἐὲ W,chicken egg,Mwaghavul believe that an ancestor can come back to the family in the form of an egg to reveal a mystery to the family/grand- children etc. Only seers can interpret such messages. Gyet yam ɓe mo ki cii se àas kwee njep mo nne mo yaghal put wat In the past children were denied eggs fearing that they would eventually become thieves
aas ngooroo,,,"n āās ""goòròò",drink of farmers before lunch,Aas ngooroo ki teer a yil The left- over drink is kept through the night on the farm
aas shwáa,,,ààs Jáá,maize kernel,Aas shwáa ni nan zam The maize kernel is very big
àas yer,,,ààs yar,"pumpkin seed, usually roasted and pounded in a mortar",Also àas ɓee. Aas yer ni sháng se a kaa àas kóm sì The pumpkin seed is as palatable as groundnuts
àas yit,,,ààs yīt,eyeball,Aas yit firi ni mo nan a kaa mu nyiiyii si His eyeballs are as large as those of an owl
aase,,,āāsê,frequently; often; usually; a lot,dee wuri ki mwaan aase gùsmèt-gùsmèt He now usually walks sluggishly [as a result of over- eating] gùsmèt- gùsmèt
aasi,,,āāsi,as (previously referred to); so; like that,teng ni shwal aasi the rope is as long as was said; mbii ni aasi The issue is like that
aa wus,,,àà wūs,embers; hottest part of fire,Aa wus ni ki fil àm kilak met mbilem wus Hot embers boil water faster than flame
abet,,,ābēt,suddenly; immediately; promptly,Mo pèt wuri ɓe ri cighir ji abet He was sent for and he came immediately
abet-abet,,,ābēt ābēt,immediately; at once,a so abet-abet ku a tàng làà ni wuri di you go at once and find the boy
aɓwoon,,,,after; later,also mbwoon. Là ni ji abwoon The child came later
aɓwoon kini,,,"W āb""бón kìnī",after that; afterwards,"also abwoon mini, mɓwoon mini, mɓwoon kini. Mat ni kaat mun le nlu. Aɓwoon kini ɓe ra cin mbiise mmun The ushered us into the room. After that, she served us with food woman"
adéng,,,ādeng,up; above,A le been ni adéng Put the gourd up
adeng,,,ādēŋ,on top of s.t,"A le ngarvip ni adeng peesaam ""You (masc. sg.) put book the on bed' Put the book on the bed"
adiiko,,,àdííkò,headgear,"<H. Worn by women for occasions, it is usually bigger than dankwali. Yi diin adiiko fii ni Wear your adiiko (sg. fem.)"
aduwa,,,àdúwà,prayer,<H. cf. dangnaan. Naan ki lap aduwa mo God answers prayers
agaak,,,āgāāk,openly,Gwar ni ki sat mbii agaak The man says things openly
aghar,,,àyàr,to drink s.t. to excess; to draw to a close,"A nook aghar wáar ni, taji a teer nkizing Do not drink the cereal beverage to excess, so you do not spend the night urinating"
aghas,,,àyàs,tooth; general name for teeth,"Kàt jep mo ndùng kàa aghas ɓe mo ki beer dyes When children begin to grow teeth, they develop diarrhoea"
aghas cughur,,,àyàs ffùyur,wisdom tooth,Des ki shirop mo ki kàa aghas cughur a nlù dik Most women grow their wisdom teeth in their matrimonial homes
aghas manzang,,,àyàs manzān,canine,Mbwoor ki yilang lwaayil mo a shi aghas manzang Lions tear their preys with their canine
aghas shwar,,,"àyàs ""àr",incisors (teeth),Mun ki cin dak ki aghas shwar ni a mpee filet rep Iwaa bejee dak We use our incisors to bite pieces of meat only
aghas wur,,,àyàs wūr,milk tooth,A aghas wur ki shee put akudang kaghar aghas mo The milk tooth is usually the first to appear before other teeth
aghat,,,āyāt,to warm; to dry; to heat s.t. on a fire,Ntar kut ɓe nyem nan mo ki aghat sut a wus During the harmattan elderly people warm themselves up by the fire
agoogo,,,àgōōgō,wristwatch; timepiece clock,<Hausa. also kímkésh. Mun ki cin dak ki agoogo a mpèe man mwaan kì puus We use the clock to know the movement of the sun
agwa,ajuba,,"àg™à, àdzúbà",address to a man or boy much younger than one,"also gwa. Agwa, a kàt puun fwagha ntulu me? Young man, is your father at home? cf. apa"
aji,,,ádzì,class,<Hausa. Làa ni a ndighin aji funu The child is inside our class
ajuba,,,àdzúbà,address to a group of younger people,"also juba. Ajuba, wu tap! Younger ones, be careful!"
ak,,,ák,to heap things together; to amass,Taji a ak àas kwee ni mo ashak kas You should not heap the eggs together
ak,,,ák,to abuse using fingers or lips,also wák. Mat ni ak ri The woman insulted him by hand gesture
sar,,,,to use the hand to insult others,Ngu tangshwan ni pu ak sar The trouble-maker is insulting others by hand gesture
akpee,,,ákpēž,to insult s.o. in a non- verbal way using the hand,Làa ni pu akpee is insulting others by hand gesture The child
akpee,,,άκρες,non-verbal insult (by the use of hand),Jep mo ki kilak ki fulup shak a shi akpee Children easily insult one another through hand gesture
aku,,,ākú,from; out of,"a baa aku mpesi go away from me, wuri ɓam aku nsar fina he grabbed it out of my hand wuri shang aku mbut am he took it out of the water wuri lagham aku pu mun di he hid from us wuri ɓam mun aku mɓut njeel he saved us from suffering"
akudang,,,ākúdáng,before,wuri saam akudang muu ji mu wul he slept before we arrived mu ship akudang mu shee dík ni di let us break it down and then rebuild it a dar akuɗang let you stop before i.e. wait! Naanret nsak maar akudang ra ki cetcet Naanret will farm before she cooks
akyeen,,,āk ēεn,in front; ahead; preceding,Laareep ni akyeen The young woman is ahead; As ni su so akyeen The dog ran ahead
akyeen ki,,,āk ēεn ki,ahead of; in front of (time),an ki cìn mbii mo akyeen ki pee I usually do things ahead of time. Also used in comparative constructions.Delvi t su akyeen ki mo jir Delvit runs ahead of them all
akyeen ki,,,ākчēēn ki,ahead of; in front of; in the presence of,mat ni sughup akyeen kì daas mo the woman bathed in the presence of men
am,,,ām,to carve; to peel,Manji kì am laawur. Manji has peeled potatoes
àm,,,àm,water; liquid; juice,Am kì wer máar ni Water has washed away the farm
àm,,,àm,applied to any sort of drink when in conversation at a festival,also used when referring to drinks served to guests. Wu put ki àm ni mmizep ni mo shwaa Bring out the drink for the guests to take
àm candar,,,àm tfandár,pond; lake; pool; dam; stagnant water,Àm candar ni ret shwáa a nlong mo bejee dak Stagnant water is only for animals to drink
àm dong,,,àmdoŋ,drinking water,Also àm shwaa. A cin pak àm dong ngan shwaa wa Please give me drinking some water to take
àm jarmen,,,àm dzármán,yellow,also àm mmes. Pel ni a àm jarmen The flower 1S yellow
àm jarmen,,,àm dzármán,yellow colour,also àm mmes. Ba dyen mmat ni nnaa àm jarmen kas The woman does not want to see yellow colour
àm jùrùk,,,àm dzùrùk,crater lake,cf. jùrùk. Mee àm jùrùk di nyil Mwaghavul There is a crater lake in Mwaghavul land
àm kuur,,,àm kūūr,sea; dam ocean; lake; pond,Generic term for a large water body. cf. bahar. Àm kuur se làa ni The child drowned in the large water
àm mmes,,,"àm ""mès",yellow,also àm jarmen. Mees kì àas kwee a àm mmes. The yolk is yellow
àm mmes,,,àm ™mès,yellow colour,also àm jarmen. Pànret sat nne ba àm mmes ret naa ndi kas Pànret said the yellow colour is not good for him to behold
àm nshii,,,"àm ""fii",honey extracted from the honeycomb,cf. lèe nshii. Am nshii ni a yen Honey is medicinal
àm Punguk,,,àm punguk,source of natural spring water beside the biggest volcanic hill at Kerang,the water is warm in the morning and cool in the afternoon. Pák gurum mo ki shwaa a àm Pungùk Some people use the Pungùk spring as their drinking water
àm put dung,,,àm pūt dúŋ,"flooding of stream, river; inundation",cf. put dung
àm shwaa,,,"àm√""áá",drinking water,Also àm dong. Ba mo ki tikook ki àm shwaa kas Drinking water is not wasted
àm tidughur,,,àm tìduyur,dam; water from a dam,Ba àm tidughur ret mpèe shwáa kas Water from a dam is not good for drinking
àm wur,,,àm wūr,"breast milk, skimmed milk, soured milk, yoghurt",Àm wur a yen yit Breast milk is an eye antidote. Also wur
àm yen,,,àm yen,medicinal syrup,Am yen ni kì tikook The medicinal syrup is spoilt
Àmpùdóng,,,àmpudon,crater lake in Ampang West,"A Ampùdóng a àm jùrùk nyil Mwaghavul bejee. It is Ampùdóng that is the only crater lake in Mwaghavul land. cf. Àmshál, àm jùrùk"
Àmshál,,,àmfál,place in Kerang district of Mangu LGA where water from the Kerang volcanic hill has an outlet,"màar Amshál ki àm des mpèe lughun Àmshál has a lot of water for dry-season farming. cf. Àmpudóng, àm jùrùk"
an,,,án,to worry; to pity; to be concerned; to be anxious,"Followed by the pronouns sak, sat, san to make a reflexive for different persons. Wura gyar án sat zam She was very about anxious herself"
an,mun,,"án, mún",I; me; myself,"first person singular masculine pronoun, reduced form. Án a diimeet I am worthless; A nook nas án! Stop beating me! (said to a masc. sg.). Also wán"
ān,,,ān,to disown a child etc,Ba ni ret ku a ān làa fwagha kas It is not good for you (masc. sg.) to disown your child
ang,,,19,to redeem; set free; liberate,Múut ki Jesu ni ang mun aku mbut nshikbish funu mo The death of Jesus Christ redeems us from our sins
angkwa,,,áŋk™à W,handcuffs; chain used in detaining criminals,"< English via Hausa. Laakam ni lop angkwa nwat ni nsar The police officer put handcuffs around the thief's hands cf. tizek, tisek"
ani mmìni,,,"ānī ""minī",it is so; that's it,Ri a ngu butbish; ani mmini He's a wicked man; that's it
anini,,,àníní,one tenth of a penny (1/10 d),< H. No longer legal tender with the introduction of the Naira Gyet yam be yil funu ki cìn dak a ki anini In the past our country was using anini
anpee,,,áηρεξ,to worry about or pity others,Taji wu anpee kas Do not worry
anpee,,,ánpεē,worrying about or pitying others,Ba anpee ret kas Worry is not good
ap,,,ар,"(of sting; beating, accident, etc.) to swell the body, (of body) to swell in this manner",A me ap yit nyi ye? What swells your face? (fem. sg.). cf. wūl
ара,ajuba,,"àpà, àdzúbà",address from a senior to a woman,"Apa, yi ji kun lop yi di Young woman, come so I send you. Also pà. cf. agwa"
apwet,,,"áp""ét",hornet,"Vespa crabro. Also long tróng. A small brown wasp that can sting. It makes a home under the eaves of the house, in a cactus or next to birds' nests. Apwet gyar lek zam The hornet is extremely wild"
ar,,,ár,road; way; track; trail; path procedure,Ar ni kì tikook The road has gone bad
ar àar,,,ár ààr,main road,lit. 'scraped road'. Ba ar àar a mpèe tàng jagham kas The main road is not for storytelling
ar del ki,,,ár dēl ki,to lose one's way,ar del ki ra 'road passed with her she lost her way
ar mang,,,ár máŋ,to lose one's way,ar mang ra 'road carried her' she lost her way
àr shisham,,,àr fifàm,descending road; going down; slope; declivity,"Kàt a wul a àr shisham be a tu maashii ni When you reach the slope, turn off the bike"
Árkún,,,árkún,three stars in a line constellation consisting of,"lit. 'road three'. These are close to Kwangzughut. They are normally seen at about 3.00 am depending on the period or season. Kwangzughut mo peemee poovul, koo dang árkún mo diki ndang mo The Pleiades are six or seven and a line of three stars follows them"
as,,,ās,dog; hound,As a shaar kì gurum The dog is a friend to man
às byàal,,,às bчààl,dog that is very wild,Às pàr a às byàal The nursing dog is a wild dog
as dang,,,ās daŋ,useless person; good-for- nothing person,insulting language. Lit. 'dog with tail'. As dang kaa gha sì! What a useless man you are!
às kwàt,,,às kwat,dog specially trained for hunting,Ngukwat ni ki às kwàt mo kun The hunter has three hounds
as mang mèo nnìn,,,"ās màng mè ""nin",s.t. has happened or is happening,lit. 'dog takes a locust-bean pod'. Used mostly in negative constructions Ba ri man nne as mang mèe nnin kas. He doesn't know that anything happened. has
às pàr,,,às pàr,dog nursing puppies,Às pàr a às ɓyàal The nursing dog is a wild dog
ashak,,,āfak,together,Wu sese ashak You should eat together
ashak ki,,,afak kí,together with; with,Shaar fina mo ji ashak ki làa firi My friend came together with his child
askwar,,,āskār,despicable person,Mee askwar mini! What a despicable person are/(s)he is! you
at,irap,,"āt, īrāp",to bite,As at ri A dog bit him
at liis,irap liis,,"āt líís, īrāp líís",to bite the tongue,Shang kì mbiise ni le ku an del at liis nsan The good taste of the food made me bite my tongue
at pòo,irap pòo,,"āt pòò, īrāp раз",to bite the lips,A me at pèo ngha ye? What bit your lip?
at sar,irap sar,,āt sár,to bite the fingers,Yi se mbiise ni lee- lee ji yi at sar nshik Eat the food carefully so you don't bite your finger
atilèng ki,,,ātilèng kí,in front of; before; ahead of,Delvit su atilèng ki Puttaa Delvit runs ahead of Puttaa
atìleng ki,,,ātilēng ki,outside; away from; apart,a nook dar atìleng ki mbii di nnyee mo nkaa cin mpee ɓam sut don't stand apart when others are doing something to help themselves
ating,,,ātiŋ,describes standing upright,Mu dar ating Let's stand upright
áyúu,,,áyúú,shrilling done by women to express joy; especially during the ceer dance,"Kook ni a rang ndin áyúu ye? Why is the dance without shrilling? cf. wúúúù, wúù- wúù"
azeen,,,āzεέn,really; certainly; definitely; actually,Ri kì tar azeen He is really mad
"ba dak kas, ... ... waa... zak",,,"bà ... dak kás, wāā ... zák",not only x but also y,"ba ri mimen dak kas, ri waa den ki dyen zak He is not only handsome but also well-mannered"
ba... kas,,,bà ... kás,negative,(sentence is framed by these two words). Ba an cinzeen nfet shii kas lit. 'not I believe sweep leg not' I don't believe in sweeping legs [i.e. I don't believe in this superstition] cf. fet shii
baa,,,bàà,to give way; to shift; to budge,a baa kun del di 'you give-way so-I pass so let me pass
baa,,,bàà,to remain; to be over; to be in excess (of an amount or number),nera paat baa 'naira five remains' five naira is left
baa,,,bàà,to go back; to retreat,Wat ni baa ndi ri gurum mo naa The thief retreated when he saw people
baa,,,baa,"prefix number of any added to 10, 20, 30, up to 90",laarkun baafeer thirty and four (=34)
baa aku,,,bàà ākú,to go back,Wu baa aku You (pl.) should go back
baa-baa (mpòo),,,"bāā báá (""pòò)",to talk repeatedly to s.o. who fails to take heed,"An baa-baa mpòo, dáng a we kiling ye? I spoke repeatedly, but who cared to listen? cf. caak-caak mpòo"
baada,,,bàádā,local flask gruel; tin for child's,<Hausa A we mang baada fina ni ye? Who took away my tin?
baafeer,,,bààféér,fourteen (14),Gwar ni ki jep mo baafeer The man fourteen has children
baaji,,,bààdzì,to return; to come back,Daaslek ni mo ki baaji The warriors have returned
baakikwat,,,át,mortgage; pledging one's property to a creditor,money collected from the creditor must be refunded before the property is taken back. An cin máar ni nri a nkaa baakikwat I gave him the farm on a refund mortgage. Also jimer
baakun,,,bààkún,thirteen (13),Ri ki ghii mo baakun He has thirteen goats
baakuru,,,báákúrù,groundnut cakes,<Hausa. A we ki baakuru diisì ye? Who has this groundnut cake? also bangkur
baal,,,bāāl,whole arm,Baal fira ni weel kaa ngyam sì Her arm is as thin as a taper. cf. sar
baamindong,-,,bààmindòŋ,eleven (11),Mo a baamindong They are eleven
baan,bwen,,"báán, bwan",to be flat,"(of head or object, e.g. plate, tray, rock). Làa ni baan nkaa The child is flat on the head"
baan ki káa,bwen ki káa,,"báán kí káá, bwen ..",your head is too flat,insult. lit. 'be-flat with head'
baapaat,,,bààpààt,fifteen (15),A cin ngarvip mo ngan baapaat Give me fifteen books
baapeemee,,,bààpēēméé,sixteen (16),An ki ngarvip mo baapeemee I have sixteen books
baapoofeer,,,bààpòòféér,nineteen (19),Shirop ni mo a baapoofeer women nineteen The are
baapookun,,,bààpòòkún,eighteen (18),Mo a baapookun They are eighteen
baapoovul,,,bààpòòvul,seventeen 17,mo wul baapoovul kas Ba They are not up to seventeen
baashik,,,bááfik,obstinacy impudence; stubbornness,Ba baashik ret mmatpoo kas Stubbornness is not good for a newly married woman
baaso,,,bààsò,to go back,Mo kì baaso waa They have gone back home
baavul,,,bààvūl,twelve (12),A la mo baavul twelve of cf. the Take them. archaic laar vul
bahar,,,báhàn,sea; ocean,<Arabic via Hausa
bai,byan,,"bā, byān",to beat s.o. on a fleshy part of the body,Ri bai mat firi He beat his wife on a fleshy part of the body
bài,,,bà¹,sound of hitting s.o. on a fleshy part of the body,wuri shwóor shaar firi mbut bài he hit his friend in the stomach bài
bài,,,bà¹,"describes s.t. big (persons, animals, water body)","Làa ni aase bài The child is so big, bài. also nnyaf, girmis"
bak,car,,"bák, tfar",to throw; to stone,A we bak mat ni ye? Who stoned the woman?
bak,,,bák,to pound s.t. half-dry in a mortar,Káá ra ki bak goghor di mo cèt ni Grandmother has pounded the boiled kenaf seeds
bàklàghàs,,,bàklayàs,describes oversized tongue or hand,"Liis firi ni aase bàklághàs His tongue is too large, baklaghàs. cf. vwàplàs"
bam,,,bām,"(easily) grains, to combine things that cannot be separated, e.g. tubers, liquids, many people, sticky substances",Taji a bam laawur ni mo kas Do not mix up the potato tubers
bangkur,,,báŋkúr,groundnut cake,<Hausa. Mo ki dak bangkur a shi kóm Groundnut cakes are made from groundnuts. also baakuru
banglang,,,bánláŋ,"temporary shelter for drying maize, guinea corn, etc",Shwaa ni banglang a The maize is on the drying shelter. cf. Hausa buka
bangshik,,,bāŋfik,to successfully perform an extremely difficult task or s.t. thought impossible,"muyii bangshik, ra cèt wáar dang cighir mos 'an ancestral woman performed wonders by cooking a sweet cereal drink that turned alcoholic' said when s.o. does s.t. favourable out of unfavourable an circumstances. From the story of an ancient woman who was the first to brew intoxicating drink to make her uncooperating husband cut their son's hair, which he did joyfully under the influence of the alcohol"
baptisma,,,bàptísmà,baptism,Baptisma a shik diibang Baptism is a holy rite. <English
bár,,,bár,survival,Mun ki tàng a bár We are seeking survival
bàr,,,bàr,to survive; to heal; to cure,"Nisogho ni pal bish-bish, dangbe nyem mwaan nshaghalni mo bàr jir The car had a terrible accident but all passengers survived. the"
beebul,,,bécbul,bible,<English. Beebul a pèo kì Naan The bible is the word of God
been,,n,bɛɛ̀ ̀n,gourd (calabash),
been déel,,n.p,bɛɛ̀ ̀n dɛɛ́ ́l,kettle,lit. ‘gourd with spout’. Nyem zum pɨkyeen mo kɨ cìn ɗak kɨ been déel mpèe ɗangnaan Muslims use the kettle for prayers
been mwoor,,a,bɛɛ̀ ̀n mwɔɔ̀ ̀r,complexion of person who is neither dark nor fair,Mat ni a been mwoor The woman is a bit fair- complexioned
bèló,,n,bɛ̀lɔ́,chicken-pox,Fever followed the appearance of scattered spots across the body. Ba bèló ɓyaal wul mmubin kas Chicken-pox is not as dangerous as smallpox
ben,,v,bɛ̄ n,to assume; to think; to expect; to hope for,Wan ben nne gurum mo a kaa wan s�̀ I assume that people are like me
bet,bɨrep,v,"bɛ̀t, b�̄rɛ̄ p",to push down; to push away; to press on,A tap taji a bet làa ni! Watch out so you (masc. sg.) don’t push down the child!
bìmbyòl,,n,bìmbyɔ̀l,uvular inflammation,"also bìngyòl, byòlbyòl. Kàt gurum shwaa yen ɓe bìmbyòl mmak baa When a person takes a medicine, uvular inflammation may disappear (i.e. be cured)"
bingkara,,n.,bíŋkárá,guinea corn with black stalk whose pith is crushed and used to colour mats,Ba bingkara ki le àa kas The black- stalk colouring guinea corn does not produce seed. cf. kampaar
bingyòl,,نے,bing ol,uvular inflammation,"bingyòl ki mak put ngunan Uvular inflammation can appear in an adult. bimbyòl, cf. byòlbyòl"
bir,,V.,bír,to travel aimlessly,Gwar ni pu bir buu be ri taa met a kyeenpyaa The man was wandering about and he chanced upon a luck.
bish,,V.,bif,to be stingy; to be mean; to be parsimonious,Mat ni bish aase The woman is very stingy
bish,,V.,bif,to be bad; to be wrong; to be ugly; to be misshapen; to be bitter; to taste bad,Mbiise ni bish The food tastes bad
bísh,,n.,bíf,stinginess; bad state,Mizep ni mo kwar mbiise ni mpee bísh kini The visitors refused to eat the food because of its bad taste.
bish naa,,v.p.,bīЛ náá,to be bad-looking,SVC. Lit. 'be-bad to-behold' Tish kì nkuljem ni bish The naa hamerkop's nest is bad to behold. cf. ret naa
bishaal,,n.,bìfáál,grass sp.,Bishaal ni kì fii The bishaal grass has dried up
bish-bish,,id.,bif bif,very (bad); exceedingly; terribly,Jogholtù a ngo diidut bish-bish 'Jogholtù is person short terribly' Jogholtù is an exceedingly short person
bishmmee,,adv.,bī√mmεé,probably; maybe; perhaps,"Bishmmee ri kudi a ar He is probably on the way. also mmimee, mmee, kasmmee"
bít,,n.,bít,morning,The Bít zùghùm met mpuus morning is colder than the afternoon
bit,,n.,bit,hut; house; home,Dikaam ni ri ki tong a ndighin bit The old man lives in a hut
bít-bít,,c.i.,bít bít,very black,qualifies tùp. fwaat ni a tùp bít-bít the cloth is very black
bicicit,,id.,bitfitfit,"very wide (space, piece of cloth)",kom milom ni kaam bicicit The leaves of the cocoyam are very wide cf. bucicit
bighir,pweer,V.,"biyir, p™ēēr",to expose; to spread out,Ting ni bighir zam The tree is well spread out
bilaap,,n.,bìlááp,palm of hand,Sar firi ni ki bilaap di ni kaam kaa laar sì His hand has a palm as wide as a flat rock
bìlàap sar,,n.p.,bìlààp sár,palm of the hand,Bìlàap sar fina ni kì luk kyes The palm of my hand has over blistered all
bìlàap shii,,n.p.,bìlààp fíí,flat part of the foot,"Jep kì nyem jeel mo ki mwaan a shi bìlàap shii Children of the poor usually walk on the flat part of the foot, i.e. barefoot"
bilak,kon,V.,"bīlāk, kòn",to till farm effortlessly,Gwar ni dar bilak máar ni ku ri del so di si The man quickly tilled the farm effortless and went away
bilak,kóon,V.,"bīlāk, kóón",to bruise a part of the body,A me bilak laawur ni ye? What bruised the potato?
bílásh,,id.,bílás,sound of a light person falling down,pee milam Бе wura sham pal bílásh the place was slippery and she fell down bílásh
bìlàsh,,id.,bìlàf,sound of heavy person falling down in a slippery place,ngùnan ni táá can shii dee wuri pal si bìlàsh the old man stumbled and fell bìlàsh
bilat,,n.,bīlāt,fonio variety,Kusuk firi ni a bilat His fonio is the bilat cultivar. cf. kusuk
bilem,,n.,bìlèm,flame,Ba mo ki wus shwáa a shi bilem kas. You do not roast maize with a flame. also mbilem
bilip,,V.,bīlīp,to select; to search; to elect; to choose,A gurum mo ki bilip nyem tileng mo It is people who elect leaders
bilip,,n.,bilip,election; investigation,Ba bilip ni nkaa zeen kas The election was not free and fair
bilish,,V.,bīlīs,to search in the minutest detail,Ba ni ret ku gurum bilish se dáng se kas It is not good for a person to inspect the minutest parts of food before eating it
bilon,,n.,bílòn,gap in the mouth where teeth have fallen out,Mat ni ki bilon The woman has a tooth-loss gap
bìnìnòn,,id.,bininòn,describes s.o. with a mouth with few teeth,"aghas kì ngunan ni kì lyoon kyes ku pòo ni dee bininòn The old man has lost almost all his teeth and his mouth is now just empty, gininòn"
bìr,,id.,bìr,sound of a bird taking off,nyer ni sham yaghal bir the bird took off bir
birep,,V.,birεp,to push down (pl.),Ri birep jep ni mo sham 'àm He pushed the children into water. cf. bet (sg.)
birim,,n.,bīrīm,plant (general term); fruit tree,Birim mo ki seen Plants have life
